0018.test,ANKET BEYLE GÖRÜŞÜLDÜ .,,,,,,,
3/görüş,,,,,,,,
,person:ARG1,,,,,,,
,,name:name,,,,,,
,,,1/anket:op1,,,,,
,,,2/bey:op2,,,,,
,,-:wiki,,,,,,
,,,,,,,,
0042.test,ZAMAN BEY .,,,,,,,
person,,,,,,,,
,name:name,,,,,,,
,,1/zaman:op1,,,,,,
,,2/bey:op2,,,,,,
,,,,,,,,
0051.test,GENEL OLARAK MEMNUN .,,,,,,,
3/memnun,,,,,,,,
,o:domain,,,,,,,
,,,,,,,,
0060.test,BAYA İLGİLENDİ BİZİMLE .,,,,,,,
2/ilgilen,,,,,,,,
,1/bay:degree,,,,,,,
,o:ARG0,,,,,,,
,3/biz:ARG1,,,,,,,
,,,,,,,,
0063.test,BAYA İLGİLENDİ .,,,,,,,
2/ilgilen,,,,,,,,
,1/bay:degree,,,,,,,
,o:ARG0,,,,,,,
,,,,,,,,
0066.test,HİZMET OLARAK DÖRT DÖRTLÜKTÜ .,,,,,,,
,1/hizmet,,,,,,,
,2/ol,,,,,,,
,3/kötü 4/dörtlük,,,,,,,
,5/.,,,,,,,
,,,,,,,,
0067.test,HİZMET OLARAK KÖTÜ .,,,,,,,
3/kötü,,,,,,,,
,1/hizmet:domain,,,,,,,
,,,,,,,,
0104.test,KAMPANYALAR HAKKINDA BİLGİ ALMAK İSTERİM .,,,,,,,
5/iste,,,,,,,,
,4/al:ARG1,,,,,,,
,,3/bilgi:ARG1,,,,,,
,,,1/kampanya:topic,,,,,
,ben:ARG0,,,,,,,
,,,,,,,,
0109.test,TEMİZ BİR GEMİ .,,,,,,,
3/gemi,,,,,,,,
,1/temiz:mod,,,,,,,
,,,,,,,,
0110.test,AÇIKLAYICIYDI .,,,,,,,
1/açıklayıcı,,,,,,,,
,o:domain,,,,,,,
,,,,,,,,
0113.test,HİZMET GÜZELDİ PERSONELLERİNDEN MEMNUN KALDIK TESİS TEMİZDİ .,,,,,,,
and,,,,,,,,
,2/güzel:op1,,,,,,,
,,1/hizmet:domain,,,,,,
,4/memnun 5/kal:op2,,,,,,,
,,3/personel:ARG1,,,,,,
,,,o:poss,,,,,
,,biz:ARG0,,,,,,
,7/temiz:op3,,,,,,,
,,6/tesis:domain,,,,,,
,,,,,,,,
0114.test,10 VERMEK İSTİYORUM .,,,,,,,
3/iste,,,,,,,,
,2/ver:ARG1,,,,,,,
,,score-quantity:ARG1,,,,,,
,,,1/10:quant,,,,,
,ben:ARG0,,,,,,,
,,,,,,,,
0117.test,ÇOK FATURAMIN TARAFIMA İLETİLMESİNİ İSTİYORUM .,,,,,,,
5/iste,1/çok,,,,,,,
,2/fatura:ARG1,,,,,,,
,3/taraf:ARG1,,,,,,,
,4/ilet:ARG1,,,,,,,
,,,,,,,,
,6/.,,,,,,,
,,,,,,,,
0118.test,KADİR BEYDİ .,,,,,,,
person,,,,,,,,
,name:name,,,,,,,
,,1/zaman:op1,,,,,,
,,2/bey:op2,,,,,,
,o:domain,,,,,,,
,,,,,,,,
